flux_campaign,day,Date,time,RECORD,SiteOutput,chamber,line,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
5,1,22/03/2014,6:56:00 AM,2764,6,4,samp,150.5,523.5721,5.870668,20.00097,400.0004,424.8236,63.93023,201.1236,100,533.7949,5.895038,-12.17017
5,1,22/03/2014,6:56:20 AM,2765,9,3,ref,150.5,506.9755,5.686346,20.00307,399.9977,424.1045,78.48225,201.1506,100,517.1008,5.711847,-11.96746
5,1,22/03/2014,6:56:40 AM,2766,10,3,samp,150.5,528.3701,5.923384,20.00291,399.9995,425.2211,53.95906,201.1673,100,538.6295,5.947486,-12.32681
5,1,22/03/2014,6:57:00 AM,2767,13,10,ref,150.5,501.6551,5.627764,20.02218,399.9997,424.2382,75.21088,201.1443,100,511.7256,5.653292,-11.82417
5,1,22/03/2014,6:57:20 AM,2768,14,10,samp,150.5,523.6877,5.871882,19.99708,399.998,423.4466,92.47401,201.1934,100,533.9165,5.896252,-12.19197
5,1,22/03/2014,6:57:40 AM,2769,11,5,ref,150.5,507.943,5.697914,19.9997,399.9998,423.025,101.1387,201.1803,100,518.0607,5.723186,-11.84043
5,1,22/03/2014,6:58:00 AM,2770,12,5,samp,150.5,540.0554,6.052408,20.00112,400.0011,423.1121,99.41074,201.2067,100,550.4045,6.075945,-12.58046
5,1,22/03/2014,6:58:20 AM,2771,15,9,ref,150.5,500.3633,5.614329,20.00141,400.0003,423.7906,83.52317,201.1773,100,510.4055,5.63983,-11.62756
5,1,22/03/2014,6:58:40 AM,2772,16,9,samp,150.5,532.2671,5.966679,20.00261,400.0011,423.4354,92.45624,201.2813,100,542.5582,5.990582,-12.37376
5,1,22/03/2014,6:59:00 AM,2773,17,12,ref,150.5,502.7557,5.640625,20.0065,399.9987,423.3748,94.13164,201.1844,100,512.8193,5.665984,-11.71809
5,1,22/03/2014,6:59:20 AM,2774,18,12,samp,150.5,553.1419,6.196762,20.00413,400.0011,423.7432,85.87752,201.2338,100,563.5894,6.219606,-12.87984
5,1,22/03/2014,6:59:40 AM,2775,5,4,ref,150.5,504.6152,5.661854,20.00724,400.0005,423.8785,83.79337,201.1615,100,514.7096,5.687298,-11.64352
5,1,22/03/2014,7:00:00 AM,2776,6,4,samp,150.5,523.2967,5.868426,20.00036,399.9998,424.779,64.00383,201.1067,100,533.5235,5.892824,-12.03897
5,1,22/03/2014,7:00:20 AM,2777,9,3,ref,150.5,502.3312,5.636956,19.99938,399.9996,424.1043,78.55421,201.1527,100,512.4128,5.662556,-11.53239
5,1,22/03/2014,7:00:40 AM,2778,10,3,samp,150.5,527.8971,5.919528,20.00553,400.0009,425.2786,54.01872,201.151,100,538.1544,5.943673,-12.08871
5,1,22/03/2014,7:01:00 AM,2779,13,10,ref,150.5,508.4373,5.704419,20.00396,399.9991,424.3269,75.3046,201.1108,100,518.5618,5.729712,-11.6694
5,1,22/03/2014,7:01:20 AM,2780,14,10,samp,150.5,524.0958,5.879303,20.00168,400,423.5396,92.56121,201.1766,100,534.3215,5.903619,-11.70736
5,1,22/03/2014,7:01:40 AM,2781,11,5,ref,150.5,514.3374,5.771527,20.00176,400.002,423.1744,101.308,201.1568,100,524.5139,5.796601,-11.47793
5,1,22/03/2014,7:02:00 AM,2782,12,5,samp,150.5,539.6021,6.050361,20.00164,399.998,423.2609,99.52135,201.1703,100,549.9503,6.07394,-12.09098
5,1,22/03/2014,7:02:20 AM,2783,3,cal1,ref,150.5,761.0543,8.321561,20.00061,400.0114,442.0208,128.9255,200.7159,100,773.0611,8.334401,-35.65926
5,1,22/03/2014,7:02:40 AM,2784,4,cal2,ref,150.5,314.0094,3.444612,19.99294,400.0007,443.6455,139.0103,200.9672,100,322.6654,3.480342,-35.19524
5,1,22/03/2014,7:03:00 AM,2785,15,9,ref,150.5,507.7807,5.699513,19.99884,399.9918,426.2823,83.61668,201.1402,100,518.0319,5.722828,-11.847
5,1,22/03/2014,7:03:20 AM,2786,16,9,samp,150.5,531.4053,5.96064,19.99806,399.9947,424.7087,92.52072,201.2968,100,541.8408,5.982626,-12.37951
5,1,22/03/2014,7:03:40 AM,2787,17,12,ref,150.5,503.7006,5.654447,20.00258,399.999,424.1047,94.20438,201.1683,100,513.9067,5.677783,-11.75564
5,1,22/03/2014,7:04:00 AM,2788,18,12,samp,150.5,552.0611,6.187736,19.99994,399.9986,424.1743,85.95507,201.1909,100,562.6676,6.208728,-12.99207
5,1,22/03/2014,7:04:20 AM,2789,5,4,ref,150.5,511.0017,5.735829,19.99461,400,424.1317,83.86678,201.1228,100,521.2661,5.758806,-11.80442
5,1,22/03/2014,7:04:40 AM,2790,6,4,samp,150.5,522.9092,5.867112,19.99518,399.9991,424.9306,64.05287,201.0925,100,533.2714,5.889492,-12.13074
5,1,22/03/2014,7:05:00 AM,2791,9,3,ref,150.5,509.9892,5.723879,19.99784,399.9982,424.2037,78.58868,201.148,100,520.2504,5.746973,-11.9097
5,1,22/03/2014,7:05:20 AM,2792,10,3,samp,150.5,527.5368,5.917777,20.00269,399.9998,425.309,54.00611,201.1614,100,537.9393,5.939932,-12.31575
5,1,22/03/2014,7:05:40 AM,2793,13,10,ref,150.5,526.8012,5.91059,20.00135,399.9984,424.3135,75.29915,201.1407,100,537.216,5.933051,-12.13171
5,1,22/03/2014,7:06:00 AM,2794,14,10,samp,150.5,524.2027,5.880947,20.00366,399.9984,423.5547,92.58849,201.1738,100,534.5751,5.903284,-12.2323
5,1,22/03/2014,7:06:20 AM,2795,11,5,ref,150.5,515.8417,5.789368,19.99871,399.9983,423.1544,101.2797,201.1494,100,526.142,5.812068,-11.90753
5,1,22/03/2014,7:06:40 AM,2796,12,5,samp,150.5,539.0794,6.045016,19.99679,400.0002,423.2336,99.49299,201.1972,100,549.5718,6.066657,-12.59587
5,1,22/03/2014,7:07:00 AM,2797,15,9,ref,150.5,510.0419,5.725082,20.00102,399.9993,423.9799,83.58354,201.1821,100,520.2885,5.747928,-11.81778
5,1,22/03/2014,7:07:20 AM,2798,16,9,samp,150.5,531.0776,5.956973,19.99615,400.0006,423.5775,92.50146,201.3139,100,541.5071,5.978959,-12.37661
5,1,22/03/2014,7:07:40 AM,2799,17,12,ref,150.5,516.9891,5.802036,19.99989,400,423.5161,94.19583,201.1994,100,527.3752,5.825525,-11.9354
5,1,22/03/2014,7:08:00 AM,2800,18,12,samp,150.5,551.3258,6.180328,19.99977,400.0003,423.8694,85.90297,201.222,100,561.9304,6.201416,-12.86101
5,1,22/03/2014,7:08:20 AM,2801,5,4,ref,150.5,517.8931,5.812691,19.99474,399.9994,423.9722,83.85464,201.1586,100,528.2042,5.835189,-11.84975
5,1,22/03/2014,7:08:40 AM,2802,6,4,samp,150.5,522.8629,5.866691,19.99664,399.9986,424.8563,63.99465,201.1376,100,533.2279,5.889042,-12.12562
5,1,22/03/2014,7:09:00 AM,2803,9,3,ref,150.5,512.7178,5.755188,20.00622,399.9989,424.2112,78.57084,201.1901,100,522.9885,5.777915,-11.79059
5,1,22/03/2014,7:09:20 AM,2804,10,3,samp,150.5,527.0415,5.912291,20.00271,399.9961,425.3764,53.92132,201.1899,100,537.4366,5.934503,-12.29557
5,1,22/03/2014,7:09:40 AM,2805,13,10,ref,150.5,529.5302,5.941378,20.00037,400.0005,424.4091,75.26159,201.1684,100,539.9836,5.963881,-12.08781
5,1,22/03/2014,7:10:00 AM,2806,14,10,samp,150.5,524.6622,5.886466,20.0004,400.0008,423.5916,92.57256,201.1945,100,535.0358,5.908717,-12.17445
5,1,22/03/2014,7:10:20 AM,2807,11,5,ref,150.5,516.3038,5.794665,20.00033,400.0001,423.1515,101.2604,201.227,100,526.6016,5.817304,-11.88052
5,1,22/03/2014,7:10:40 AM,2808,12,5,samp,150.5,538.7913,6.041908,20.00785,400.002,423.2309,99.4685,201.2534,100,549.2868,6.06354,-12.59135
5,1,22/03/2014,7:11:00 AM,2809,3,cal1,ref,150.5,761.0712,8.322056,19.99965,400.0141,442.0294,128.91,200.7981,100,773.4322,8.333988,-36.16974
