flux_campaign,day,Date,time,RECORD,SiteOutput,chamber,line,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
4,1,22/02/2014,6:31:40 AM,2897,9,3,ref,150.5,420.7923,4.729791,20.00056,400.0007,442.3146,83.78296,195.6703,100,430.0562,4.759825,-9.998544
4,1,22/02/2014,6:32:00 AM,2898,10,3,samp,150.5,444.2234,4.988617,19.99722,399.9977,443.7188,54.28695,195.6874,100,453.6339,5.017329,-10.67932
4,1,22/02/2014,6:32:20 AM,2899,11,8,ref,150.5,437.1759,4.910746,20.00234,400.0002,441.2751,105.7958,195.7012,100,446.5466,4.939952,-10.47692
4,1,22/02/2014,6:32:40 AM,2900,12,8,samp,150.5,460.2837,5.165372,20.00531,399.9999,441.3552,104.0243,195.7799,100,469.7935,5.193124,-11.23821
4,1,22/02/2014,6:33:00 AM,2901,15,9,ref,150.5,425.042,4.776606,20.00347,400.0004,442.0955,88.78513,195.7055,100,434.323,4.806415,-10.12941
4,1,22/02/2014,6:33:20 AM,2902,16,9,samp,150.5,446.5112,5.013327,19.9977,400.0005,441.6882,97.69487,195.8265,100,455.9342,5.041861,-10.8581
4,1,22/02/2014,6:33:40 AM,2903,13,10,ref,150.5,419.4335,4.714849,19.99487,400.0008,442.4598,80.42083,195.7053,100,428.7032,4.745205,-9.924682
4,1,22/02/2014,6:34:00 AM,2904,14,10,samp,150.5,447.5769,5.025604,19.99851,400.0084,441.715,97.71251,195.7416,100,457.0075,5.054083,-10.78897
4,1,22/02/2014,6:34:20 AM,2905,5,4,ref,150.5,422.9341,4.753831,19.99836,400.0009,442.1031,89.32078,195.6872,100,432.1886,4.783592,-9.964632
4,1,22/02/2014,6:34:40 AM,2906,6,4,samp,150.5,442.4966,4.969564,19.9995,400.0017,443.0392,69.21599,195.6703,100,451.8877,4.99831,-10.62125
4,1,22/02/2014,6:35:00 AM,2907,17,11,ref,150.5,418.8159,4.708078,19.99994,399.9981,441.6868,98.63762,195.7136,100,428.0527,4.738167,-9.890948
4,1,22/02/2014,6:35:20 AM,2908,18,11,samp,150.5,454.0588,5.096927,20.00183,400.0005,442.0266,90.92383,195.7075,100,463.5323,5.125045,-11.01991
4,1,22/02/2014,6:35:40 AM,2909,9,3,ref,150.5,417.2184,4.690217,19.9931,399.9983,442.3263,83.74945,195.7151,100,426.4477,4.72045,-9.880742
4,1,22/02/2014,6:36:00 AM,2910,10,3,samp,150.5,443.59,4.98134,20.00051,399.9995,443.7354,54.29058,195.7379,100,452.9969,5.010075,-10.72096
4,1,22/02/2014,6:36:20 AM,2911,11,8,ref,150.5,433.3534,4.868476,20.0046,400.001,441.2928,105.7732,195.7659,100,442.6764,4.897593,-10.38523
4,1,22/02/2014,6:36:40 AM,2912,12,8,samp,150.5,460.1512,5.164427,20.00197,399.9995,441.3916,103.9759,195.8537,100,469.6647,5.192202,-11.14268
4,1,22/02/2014,6:37:00 AM,2913,3,cal1,ref,150.5,761.9604,8.322474,20.00242,400.0261,460.7167,140.1513,195.4284,100,773.4684,8.333859,-36.22971
4,1,22/02/2014,6:37:20 AM,2914,4,cal2,ref,150.5,314.0739,3.44093,20.00031,400.0023,462.0583,142.0592,195.7214,100,322.6227,3.477626,-35.82071
4,1,22/02/2014,6:37:40 AM,2915,15,9,ref,150.5,422.0075,4.743534,19.99951,399.9899,444.2119,88.8073,195.7538,100,431.2649,4.773301,-9.97843
4,1,22/02/2014,6:38:00 AM,2916,16,9,samp,150.5,445.9438,5.007759,20.00115,399.9948,442.8446,97.72221,195.8375,100,455.3442,5.036005,-10.72684
4,1,22/02/2014,6:38:20 AM,2917,13,10,ref,150.5,417.1436,4.689914,20.00197,399.9972,443.0629,80.44726,195.7051,100,426.4168,4.720472,-9.804085
4,1,22/02/2014,6:38:40 AM,2918,14,10,samp,150.5,446.9138,5.01895,20.0033,399.9965,442.0072,97.70798,195.7888,100,456.3268,5.047151,-10.67225
4,1,22/02/2014,6:39:00 AM,2919,5,4,ref,150.5,423.1004,4.755842,19.99843,400.0356,442.2288,89.39684,195.7212,100,432.3457,4.785351,-9.9604
4,1,22/02/2014,6:39:20 AM,2920,6,4,samp,150.5,442.1858,4.966939,20.00086,400.0013,443.096,69.26752,195.7314,100,451.5625,4.99542,-10.48115
4,1,22/02/2014,6:39:40 AM,2921,17,11,ref,150.5,418.0444,4.700011,20.00594,400.0006,441.701,98.63925,195.7851,100,427.2833,4.730072,-9.802694
4,1,22/02/2014,6:40:00 AM,2922,18,11,samp,150.5,453.5135,5.091641,19.9982,399.9995,442.0493,90.93071,195.767,100,462.9644,5.119451,-10.88762
4,1,22/02/2014,6:40:20 AM,2923,9,3,ref,150.5,416.4014,4.681404,19.99969,400.0023,442.358,83.77432,195.7654,100,425.6125,4.711391,-9.84149
4,1,22/02/2014,6:40:40 AM,2924,10,3,samp,150.5,442.7897,4.972532,19.99641,399.9989,443.756,54.36448,195.7949,100,452.1691,5.000983,-10.70828
4,1,22/02/2014,6:41:00 AM,2925,11,8,ref,150.5,430.7382,4.840254,20.00617,399.9994,441.3187,105.7603,195.8269,100,440.0363,4.869366,-10.1856
4,1,22/02/2014,6:41:20 AM,2926,12,8,samp,150.5,459.7995,5.160637,20.00091,400.0005,441.3966,103.9937,195.9027,100,469.2885,5.188091,-11.13364
4,1,22/02/2014,6:41:40 AM,2927,15,9,ref,150.5,415.683,4.673756,19.99692,399.9989,442.0964,88.80217,195.7857,100,424.892,4.703804,-9.759722
4,1,22/02/2014,6:42:00 AM,2928,16,9,samp,150.5,445.3481,5.001162,20.00377,400.0001,441.7017,97.74405,195.8724,100,454.7405,5.029447,-10.70352
4,1,22/02/2014,6:42:20 AM,2929,13,10,ref,150.5,418.1205,4.700867,20.00172,400.0011,442.4579,80.45435,195.7642,100,427.33,4.730614,-9.797559
4,1,22/02/2014,6:42:40 AM,2930,14,10,samp,150.5,446.566,5.015298,20.00079,399.9994,441.7127,97.71789,195.8119,100,455.9746,5.043545,-10.61538
